Nama Restaurant,Rating,Tipe Restaurant,Price,Daerah,Label
Kedai Pisang The Monkey,3.9,Desserts,15000,"Kalibata, Jakarta",1
KAKAW Fine Chocolate & Patisserie,3.4,"Kafe, Desserts",20000,"Senayan, Jakarta",1
Bakeri Monami,3.5,"Kue & Roti, Desserts",20000,"Senayan City, Senayan, Jakarta",1
Join Kopi Bulungan,3.9,Kopi,20000,"Blok M, Jakarta",1
Kopi Coga,4,"Kafe, Kopi, Tea",25000,"Bendungan Hilir, Jakarta",1
Ayam Keprabon Express,3.8,Indonesia,25000,"Palmerah, Jakarta",1
Bakmi DKI,3.1,Bakmi,25000,"Palmerah, Jakarta",1
"Mie Keriting Benhil ""Mas Pujo""",3.4,Bakmi,25000,"Bendungan Hilir, Jakarta",1
Pecel Ayam Mami,3.8,Jawa,25000,"Palmerah, Jakarta",1
D' Crepes,3.5,"Desserts, Camilan",25000,"Plaza Senayan, Senayan, Jakarta",1
Daikohi,3.3,Minuman,25000,"Senayan, Jakarta",1
Le Gourmet,3,"Kue & Roti, Desserts",25000,"Plaza Senayan, Senayan, Jakarta",1
Fortis Coffee,3,Kopi,25000,"Senayan Park, Senayan, Jakarta",1
Kopi Lain Hati,3.3,"Kopi, Minuman",25000,"Senayan, Jakarta",1
Rocky Rooster,4.2,Makanan Cepat Saji,25000,"Palmerah, Jakarta",1
Kopilangit,3,"Kafe, Kopi, Tea",25000,"Bendungan Hilir, Jakarta",1
Selembar Pizza,3.1,"Kopi, Pizza",25000,"Palmerah, Jakarta",1
Kopi SSS,3.7,"Kopi, Minuman",25000,"Sudirman, Jakarta",1
Kidota Coffee,4.9,Kopi,25000,"Senayan, Jakarta",1
Kopi Ketemu,3.4,Kopi,25000,"Senayan, Jakarta",1
Nasi Padang Trio Jaya,3.3,Padang,25000,"Kuliner GBK, Senayan, Jakarta",1
Ayam Blenger PSP,4.2,Indonesia,25000,"Palmerah, Jakarta",1
Bakso Cinta Rasa,4,Bakso,25000,"Palmerah, Jakarta",1
Ayam Gepuk Sambal Bawang Pak Gembus,3.5,Indonesia,25000,"Senopati, Jakarta",1
KL Kafe,5,"Kafe, Tea, Desserts",25000,"K - Link Tower, Gatot Subroto, Jakarta",1
Burger Bakar Qebul,4.1,Burger,25000,"Pasar Minggu, Jakarta",1
Kedai Kopi Tenong,3.8,"Makanan Jalanan, Indonesia",25000,"Fatmawati, Jakarta",1
COFFE.A,3.7,"Kafe, Kopi",25000,"PHX Permata Hijau, Kebayoran Lama, Jakarta",1
Teritori Kopi,3.6,Kopi,25000,"Jagakarsa, Jakarta",1
KO.LO Kopi Lokal,4.1,"Kopi, Indonesia, Camilan",25000,"Dharmawangsa, Jakarta",1
